issue_id,severity,gate_id,stage,target_artifact,section,description,fix_owner_skill,blocking_decision,next_action,status
R5B10-G1-001,low,R5-G1,T9_bundle10_quality_review,R5_stock_research_report_traceability_v3.yaml,evidence_completeness,正文使用的14个显示引用均唯一解析且追溯记录包含来源类型路径方法置信度限制与审查状态,quality-review,accepted,证据刷新后重新生成pack并复核哈希,resolved
R5B10-G2-001,low,R5-G2,T9_bundle10_quality_review,segment_forecast_model.yaml,financial_model,Reader消费Bundle9显式利润与现金流桥且质量门确认预测算术勾稽通过,quality-review,accepted,实际业绩发布后重跑预测偏差复盘,resolved
R5B10-G3-001,medium,R5-G3,T9_bundle10_quality_review,R5_bundle10_reader_pack.yaml,business_breakdown,Reader明确区分宽口径温控与液冷产品暴露但液冷独立收入毛利利润订单及项目回款仍未披露,evidence-ingest,accepted_with_todos,同定义发行人披露出现后刷新业务和估值模型,accepted_todo
R5B10-G4-001,low,R5-G4,T9_bundle10_quality_review,R5_stock_research_report_reader_v3.md,industry_context,独立行业报告和政策文件同时进入正文并保留多技术路线与公司映射限制,quality-review,accepted,行业证据过期或定义变化时重跑来源审查,resolved
R5B10-G5-001,low,R5-G5,T9_bundle10_quality_review,R5_bundle10_reader_gate_forecast.yaml,forecast_model,质量门确认三年三情景业务线驱动费用税率少数股东损益与共识差异均完整且无聚合残差,quality-review,accepted,模型输入更新后重跑Reader质量门,resolved
R5B10-G6-001,medium,R5-G6,T9_bundle10_quality_review,R5_bundle10_reader_gate_valuation.yaml,valuation,动态同业反向与情景估值已呈现且口径受控但DCF和SOTP仍因输入不足停用,company-valuation,accepted_with_todos,补齐净负债折现终值与液冷分部经济性后再评估方法资格,accepted_todo
R5B10-G7-001,low,R5-G7,T9_bundle10_quality_review,R5_bundle10_technical_market_pack.yaml,market_technical,250日行情生成日期收益均线换手率量能分位和区间统计且正文只描述市场状态,quality-review,accepted,公司行为或复权策略变化时刷新技术pack,resolved
R5B10-G8-001,medium,R5-G8,T9_bundle10_quality_review,R5_bundle10_sentiment_event_pack.yaml,sentiment_event,宏观行业公司情绪分层与未来事件链已进入Reader但宏观同日指标缺失计划日期待官方确认且机构样本仅两家,stock-deep-dive,accepted_with_todos,官方公告或更稳健同口径样本出现后刷新,accepted_todo
R5B10-G9-001,low,R5-G9,T9_bundle10_quality_review,R5_stock_research_report_reader_v3.md,narrative_coherence,动态Writer生成十个标准章节并消费判断趋势机制财务影响反证与观察指标且无公司身份硬编码,quality-review,accepted,任何pack schema变更后重跑跨行业回归,resolved
R5B10-G10-001,low,R5-G10,T9_bundle10_quality_review,R5_stock_research_report_reader_v3_quality_scorecard.yaml,no_advice,读者质量门未发现直接投资指令内部ID路径机器缺口词或过度精确货币转储,quality-review,accepted,外部人工复核前后均绑定相同报告哈希复查,resolved
R5B10-G11-001,medium,R5-G11,T9_bundle10_quality_review,R5_stock_research_report_reader_v3_human_review.yaml,sample_benchmark,自动门达到97分且零blocker但外部人工签署仍为pending因此样例质量与P2许可保持false,quality-review,accepted,none,resolved
R5B10-QR-WRITER-001,low,QR-WRITER,T9_bundle10_quality_review,src/report/r5_reader_report_writer.py,dynamic_writer,Writer源码不包含当前公司代码或workflow身份且全部正文由R5_reader_report_pack驱动,quality-review,accepted,维持源码身份硬编码扫描,resolved
R5B10-QR-XIND-001,low,QR-WRITER,T9_bundle10_quality_review,R5_bundle10_cross_industry_writer_regression.yaml,cross_industry_regression,工业设备和医疗服务两个合成样本各生成十章节且无跨样本身份串线,quality-review,accepted,新增schema能力时扩展合成样本,resolved
R5B10-QR-HUMAN-001,medium,QR-HUMAN,T9_bundle10_quality_review,R5_stock_research_report_reader_v3_human_review.yaml,external_human_review,AI语义预审只证明可交付外部审查且未生成外部审查者身份时间或通过结论,quality-review,accepted,none,resolved
R5B10-QR-CI-001,low,QR-CI,T9_bundle10_quality_review,bundle10_quality_report.md,ci_verification,本地回归可完成但未获发布授权因此不声明远端CI结果,research-orchestrator,accepted_with_todos,仅在用户明确要求发布后提交推送并核验远端CI,accepted_todo
