issue_id,severity,gate_id,stage,target_artifact,section,description,fix_owner_skill,blocking_decision,next_action,status
R5B9-G1-001,low,R5-G1,T9_bundle9_quality_review,R5_bundle9_forecast_assumption_registry.yaml,evidence_completeness,42条预测假设均同时保留证据和历史指标锚点且未把估计写成事实,quality-review,accepted,新财报发布后刷新锚点并重跑契约校验,resolved
R5B9-G2-001,low,R5-G2,T9_bundle9_quality_review,forecast_bridge.yaml,financial_model,三情景均按收入毛利费用税率少数股东损益营运资本与资本开支逐项建桥且勾稽差额为零,stock-deep-dive,accepted,实际业绩发布后执行预测偏差复盘,resolved
R5B9-G3-001,medium,R5-G3,T9_bundle9_quality_review,segment_forecast_model.yaml,business_breakdown,模型使用审计宽口径业务线但液冷独立收入毛利和利润仍未披露,evidence-ingest,accepted_with_todos,维持宽口径建模并在发行人同口径披露后刷新,accepted_todo
R5B9-G4-001,low,R5-G4,T9_bundle9_quality_review,industry_evidence_pack.yaml,industry_context,行业需求政策技术路线和反证仍由Bundle8审查后的独立来源支撑且估值数据未替代行业事实,quality-review,accepted,行业证据刷新时复核模型驱动假设,resolved
R5B9-G5-001,low,R5-G5,T9_bundle9_quality_review,segment_forecast_model.yaml,forecast_model,2026E至2028E的bear base bull三情景业务线预测利润桥现金流桥敏感性和分析师差异均可解析,quality-review,accepted,每次刷新后重跑四个预测契约校验器,resolved
R5B9-G6-001,medium,R5-G6,T9_bundle9_quality_review,R5_bundle9_valuation_pack.yaml,valuation,静态动态同业情景与反向估值已生成但同业远期倍数企业价值折现输入及分部经济性仍缺失,company-valuation,accepted_with_todos,保留partial状态并按valuation_gap_requests逐项补齐,accepted_todo
R5B9-G7-001,low,R5-G7,T9_bundle9_quality_review,market_snapshot.csv,market_technical,2026-07-10市场快照有日期单位来源证据与指标ID且只作为市场上下文,quality-review,accepted,Bundle10写入Reader时保持日期和口径,resolved
R5B9-G8-001,medium,R5-G8,T9_bundle9_quality_review,analyst_forecast_comparison.csv,sentiment_event,仅两家机构样本按analyst_view呈现且股本口径未独立核验不能称为稳健一致预期,stock-deep-dive,accepted_with_todos,Bundle10按技术情绪事件分层并继续保留样本限制,accepted_todo
R5B9-G9-001,low,R5-G9,T9_bundle9_quality_review,valuation/valuation_section_draft.md,narrative_coherence,事实估计推断分析师观点未知项和反证已分离且每个重大数字可回链模型证据或显式缺口,quality-review,accepted,Writer组合后重新检查跨章节一致性,resolved
R5B9-G10-001,low,R5-G10,T9_bundle9_quality_review,valuation/R5_valuation_handoff.yaml,no_advice,九个核心预测估值文件通过边界词扫描且所有情景均声明仅为研究上下文,quality-review,accepted,Bundle10每次渲染后重复扫描,resolved
R5B9-G11-001,low,R5-G11,T9_bundle9_quality_review,R5_stock_research_report_reader_v2_quality_scorecard.yaml,sample_benchmark,Bundle9没有重生成Reader且所有新pack继续sample_quality_allowed为false,quality-review,accepted,Bundle10完成动态Writer跨行业回归和人工审查后再判定,waived_with_reason
R5B9-QR-VAL-PEER-001,medium,QR-VAL-3,T9_bundle9_quality_review,R5_bundle9_peer_reconciliation.yaml,peer_comparability,四家同日同源市场倍数可解析但业务组合液冷纯度及官方数值逐项对账仍不足,company-valuation,accepted_with_todos,保留LOW_CONFIDENCE_PEER_SET且禁止形成确定排名,accepted_todo
R5B9-QR-VAL-DCF-001,medium,QR-VAL-4,T9_bundle9_quality_review,R5_bundle9_valuation_pack.yaml,dcf_method,虽有现金流桥但缺少审阅后的折现率终值增速和净负债因此DCF不满足方法门,company-valuation,accepted_with_todos,输入未齐前保持TODO并禁止伪精确输出,accepted_todo
R5B9-QR-VAL-SOTP-001,medium,QR-VAL-4,T9_bundle9_quality_review,R5_bundle9_valuation_pack.yaml,sotp_method,液冷独立收入利润未披露且未分配成本不可得因此SOTP不满足方法门,company-valuation,accepted_with_todos,取得同口径分部经济性后再评估方法资格,accepted_todo
R5B9-QR-CI-001,low,QR-CI,T9_bundle9_quality_review,bundle9_quality_report.md,ci_verification,本地验证可以完成但未获发布授权因此不声明远端CI结果,research-orchestrator,accepted_with_todos,仅在用户明确要求发布后提交推送并核验远端CI,accepted_todo
